J. A. FENNELLY and D. G. TORR Photon Cross Sections for O, N2, O2, and N
TABLE 1. Photoionization and Photoabsorption Cross Sections for O, N2, O2, and N
See page 331 for Explanation of Tables
Wavelength(Angstrom) | O->       | N2->              | O2->              | N-> |
|    | 4S  2D  2P  4pe  2pe  ION | ABS  N2+  N+  ION | ABS  O2+  O+  ION | ION |
|    |                                x10-18 cm2                               |

370.00 2.57 3.97 2.47 0.79 0.00 9.90 17.08 15.58 1.50 17.08 18.40 13.87 4.53 18.40 8.35
374.74 2.59 4.00 2.49 0.78 0.00 9.95 17.53 16.15 1.38 17.53 18.59 13.97 4.62 18.59 8.47
380.00 2.65 4.12 2.55 0.78 0.00 10.20 18.03 16.80 1.23 18.03 18.80 14.07 4.73 18.80 8.60
390.00 2.73 4.27 2.63 0.77 0.00 10.50 19.05 17.90 1.15 19.05 19.20 14.40 4.80 19.20 8.85
399.82 3.06 4.82 2.94 0.83 0.00 11.78 20.05 18.98 1.07 20.05 19.59 14.80 4.79 19.59 9.10
400.00 3.07 4.83 2.95 0.83 0.00 11.80 20.07 19.00 1.07 20.07 19.60 14.81 4.79 19.60 9.10
401.14 3.04 4.80 2.93 0.82 0.00 11.71 20.18 19.11 1.06 20.18 19.65 14.85 4.79 19.65 9.13
401.70 3.03 4.78 2.92 0.82 0.00 11.66 20.23 19.17 1.06 20.23 19.67 14.87 4.80 19.67 9.14
401.94 3.03 4.77 2.91 0.82 0.00 11.64 20.25 19.19 1.06 20.25 19.68 14.88 4.80 19.68 9.15
403.26 3.00 4.73 2.88 0.81 0.00 11.54 20.38 19.33 1.05 20.38 19.73 14.93 4.80 19.73 9.18
405.00 2.96 4.67 2.85 0.80 0.00 11.40 20.55 19.50 1.05 20.55 19.80 15.00 4.80 19.80 9.23
406.00 2.94 4.64 2.94 0.79 0.00 11.32 20.64 19.60 1.04 20.64 19.84 15.04 4.80 19.84 9.25
407.00 2.92 4.61 2.92 0.79 0.00 11.24 20.74 19.70 1.04 20.74 19.88 15.08 4.80 19.88 9.28
408.00 2.90 4.58 2.90 0.78 0.00 11.16 20.83 19.80 1.03 20.83 19.92 15.12 4.80 19.92 9.30
409.00 2.88 4.54 2.88 0.78 0.00 11.08 20.93 19.90 1.03 20.93 19.96 15.15 4.81 19.96 9.33
410.00 2.86 4.51 2.86 0.77 0.00 11.00 21.02 20.00 1.02 21.02 20.00 15.19 4.81 20.00 9.35
411.00 2.87 4.41 2.87 0.77 0.00 11.03 21.10 20.10 1.00 21.10 20.03 15.23 4.80 20.03 9.38
412.00 2.87 4.53 2.87 0.77 0.00 11.06 21.19 20.20 0.99 21.19 20.06 15.26 4.80 20.06 9.40
413.00 2.88 4.54 2.88 0.78 0.00 11.09 21.27 20.30 0.97 21.27 20.09 15.29 4.80 20.09 9.43
414.00 2.89 4.56 2.89 0.78 0.00 11.11 21.35 20.40 0.95 21.35 20.12 15.32 4.80 20.12 9.45
415.00 2.90 4.57 2.90 0.78 0.00 11.14 21.44 20.50 0.94 21.44 20.15 15.36 4.79 20.15 9.48
416.00 2.90 4.58 2.90 0.78 0.00 11.17 21.52 20.60 0.92 21.52 20.18 15.39 4.79 20.18 9.50
417.00 2.91 4.59 2.91 0.78 0.00 11.20 21.60 20.70 0.90 21.60 20.21 15.42 4.79 20.21 9.53
417.24 2.91 4.60 2.91 0.78 0.00 11.21 21.62 20.72 0.90 21.62 20.22 15.43 4.79 20.22 9.53
417.71 2.92 4.60 2.92 0.79 0.00 11.23 21.66 20.77 0.89 21.66 20.23 15.45 4.78 20.23 9.54
418.00 2.92 4.61 2.92 0.79 0.00 11.24 21.68 20.80 0.89 21.68 20.24 15.46 4.78 20.24 9.55
419.00 2.93 4.73 2.93 0.79 0.00 11.27 21.77 20.90 0.87 21.77 20.27 15.49 4.78 20.27 9.58
420.00 2.94 4.63 2.94 0.79 0.00 11.30 21.85 21.00 0.85 21.85 20.30 15.52 4.78 20.30 9.60
421.00 2.94 4.64 2.94 0.79 0.00 11.32 21.93 21.07 0.86 21.93 20.34 15.55 4.79 20.34 9.62
422.00 2.95 4.76 2.95 0.79 0.00 11.34 22.01 21.14 0.86 22.01 20.38 15.58 4.80 20.38 9.64
423.00 2.95 4.77 2.95 0.80 0.00 11.36 22.09 21.22 0.87 22.09 20.42 15.61 4.81 20.42 9.66
424.00 2.96 4.78 2.96 0.80 0.00 11.38 22.17 21.29 0.88 22.17 20.46 15.64 4.82 20.46 9.68
425.00 2.96 4.79 2.96 0.80 0.00 11.40 22.25 21.36 0.88 22.25 20.50 15.67 4.83 20.50 9.70
426.00 2.97 4.80 2.97 0.80 0.00 11.42 22.32 21.43 0.89 22.32 20.54 15.70 4.84 20.54 9.72
427.00 2.97 4.80 2.97 0.80 0.00 11.44 22.40 21.50 0.90 22.40 20.58 15.73 4.85 20.58 9.74
428.00 2.98 4.81 2.98 0.69 0.00 11.46 22.48 21.58 0.91 22.48 20.62 15.76 4.86 20.62 9.76
429.00 2.98 4.82 2.98 0.69 0.00 11.48 22.56 21.65 0.91 22.56 20.66 15.79 4.87 20.66 9.78
430.00 2.99 4.83 2.99 0.69 0.00 11.50 22.64 21.72 0.92 22.64 20.70 15.82 4.88 20.70 9.80
430.47 2.99 4.83 2.99 0.69 0.00 11.49 22.66 21.74 0.92 22.66 20.71 15.84 4.87 20.71 9.81
431.00 2.99 4.82 2.99 0.69 0.00 11.48 22.69 21.76 0.92 22.69 20.73 15.86 4.87 20.73 9.82
432.00 2.98 4.81 2.98 0.69 0.00 11.46 22.73 21.81 0.93 22.73 20.76 15.90 4.86 20.76 9.84
433.00 2.98 4.81 2.98 0.69 0.00 11.45 22.78 21.85 0.93 22.78 20.79 15.94 4.85 20.79 9.86
434.00 2.97 4.80 2.97 0.69 0.00 11.43 22.82 21.89 0.93 22.82 20.82 15.98 4.84 20.82 9.88
435.00 2.97 4.79 2.97 0.68 0.00 11.41 22.87 21.94 0.93 22.87 20.85 16.01 4.84 20.85 9.90
436.00 3.19 5.13 3.08 0.00 0.00 11.39 22.92 21.98 0.94 22.92 20.88 16.05 4.83 20.88 9.92
436.10 3.19 5.13 3.08 0.00 0.00 11.39 22.92 21.98 0.94 22.92 20.88 16.06 4.83 20.88 9.92
436.67 3.19 5.12 3.07 0.00 0.00 11.38 22.95 22.01 0.94 22.95 20.90 16.08 4.82 20.90 9.93
437.00 3.20 5.15 3.09 0.00 0.00 11.43 22.96 22.02 0.94 22.96 20.91 16.09 4.82 20.91 9.94
438.00 3.25 5.22 3.13 0.00 0.00 11.60 23.01 22.06 0.94 23.01 20.94 16.13 4.81 20.94 9.96
439.00 3.29 5.29 3.17 0.00 0.00 11.76 23.05 22.11 0.95 23.05 20.97 16.17 4.80 20.97 9.98
440.00 3.34 5.36 3.22 0.00 0.00 11.92 23.10 22.15 0.95 23.10 21.00 16.21 4.79 21.00 10.00
440.50 3.36 5.40 3.24 0.00 0.00 12.00 23.10 22.15 0.95 23.10 21.02 16.23 4.79 21.02 10.01
441.00 3.27 5.26 3.16 0.00 0.00 11.69 23.10 22.16 0.94 23.10 21.04 16.25 4.79 21.04 10.02
442.00 3.10 4.99 2.99 0.00 0.00 11.08 23.10 22.16 0.94 23.10 21.08 16.28 4.80 21.08 10.05
442.30 3.05 4.90 2.94 0.00 0.00 10.90 23.10 22.16 0.94 23.10 21.09 16.29 4.80 21.09 10.06
442.70 3.61 5.80 3.48 0.00 0.00 12.90 23.10 22.16 0.94 23.10 21.11 16.31 4.80 21.11 10.07
443.00 3.49 5.61 3.37 0.00 0.00 12.47 23.10 22.17 0.93 23.10 21.12 16.32 4.80 21.12 10.07
443.60 3.25 5.22 3.13 0.00 0.00 11.60 23.10 22.17 0.93 23.10 21.14 16.34 4.80 21.14 10.09
444.00 3.21 5.16 3.10 0.00 0.00 11.47 23.10 22.17 0.93 23.10 21.16 16.36 4.80 21.16 10.10
445.00 3.12 5.01 3.01 0.00 0.00 11.13 23.10 22.18 0.93 23.10 21.20 16.40 4.80 21.20 10.13
445.10 3.11 4.99 3.00 0.00 0.00 11.10 23.10 22.18 0.92 23.10 21.20 16.40 4.80 21.20 10.13
446.00 2.97 4.77 2.86 0.00 0.00 10.61 23.10 22.18 0.92 23.10 21.24 16.43 4.81 21.24 10.15
446.20 2.94 4.72 2.84 0.00 0.00 10.50 23.10 22.18 0.92 23.10 21.25 16.44 4.81 21.25 10.16
446.70 3.92 6.30 3.78 0.00 0.00 14.00 23.10 22.18 0.92 23.10 21.27 16.46 4.81 21.27 10.17
447.00 3.74 6.02 3.61 0.00 0.00 13.37 23.10 22.13 0.92 23.10 21.28 16.47 4.81 21.28 10.18
447.60 3.39 5.45 3.27 0.00 0.00 12.10 23.10 22.19 0.91 23.10 21.30 16.49 4.81 21.30 10.19
448.00 3.28 5.27 3.16 0.00 0.00 11.70 23.10 22.19 0.91 23.10 21.32 16.51 4.81 21.32 10.20
448.60 3.11 4.99 3.00 0.00 0.00 11.10 23.10 22.19 0.91 23.10 21.34 16.53 4.81 21.34 10.22
449.00 3.12 5.02 3.01 0.00 0.00 11.15 23.10 22.19 0.90 23.10 21.36 16.55 4.81 21.36 10.23
450.00 3.16 5.07 3.04 0.00 0.00 11.27 23.10 22.20 0.90 23.10 21.40 16.58 4.82 21.40 10.25
450.20 3.16 5.09 3.05 0.00 0.00 11.30 23.10 22.20 0.90 23.10 21.41 16.59 4.82 21.41 10.26
451.00 3.14 5.04 3.02 0.00 0.00 11.20 23.10 22.18 0.91 23.10 21.43 16.60 4.83 21.43 10.27
452.00 3.10 4.98 2.99 0.00 0.00 11.08 23.09 22.17 0.92 23.09 21.46 16.62 4.84 21.46 10.30
452.60 3.08 4.95 2.97 0.00 0.00 11.00 23.09 22.16 0.93 23.09 21.48 16.63 4.84 21.48 10.32
453.00 3.01 4.84 2.91 0.00 0.00 10.76 23.09 22.15 0.93 23.09 21.49 16.64 4.85 21.49 10.32
454.00 2.85 4.58 2.75 0.00 0.00 10.18 23.08 22.14 0.94 23.08 21.52 16.66 4.86 21.52 10.35
454.30 2.80 4.47 2.70 0.00 0.00 10.00 23.08 22.14 0.94 23.08 21.53 16.67 4.86 21.53 10.36
454.70 3.08 4.87 2.97 0.00 0.00 11.00 23.08 22.13 0.95 23.08 21.54 16.68 4.87 21.54 10.37
455.00 3.57 5.61 3.44 0.00 0.00 12.76 23.08 22.12 0.95 23.08 21.55 16.68 4.87 21.55 10.38
455.40 4.23 6.70 4.08 0.00 0.00 15.10 23.07 22.12 0.95 23.07 21.56 16.69 4.87 21.56 10.39
456.00 3.88 6.23 3.74 0.00 0.00 13.85 23.07 22.11 0.96 23.07 21.58 16.70 4.88 21.58 10.40
456.50 3.52 5.76 3.46 0.00 0.00 12.80 23.07 22.10 0.97 23.07 21.60 16.71 4.89 21.60 10.41
457.00 3.41 5.68 3.41 0.00 0.00 12.61 23.07 22.09 0.97 23.07 21.61 16.72 4.89 21.61 10.43
458.00 3.31 5.51 3.31 0.00 0.00 12.24 23.06 22.08 0.98 23.06 21.64 16.74 4.90 21.64 10.45
459.00 3.21 5.34 3.21 0.00 0.00 11.87 23.06 22.06 0.99 23.06 21.67 16.76 4.91 21.67 10.48
459.20 3.21 5.31 3.19 0.00 0.00 11.80 23.05 22.06 0.99 23.05 21.68 16.76 4.91 21.68 10.48
460.00 3.31 5.32 3.19 0.00 0.00 11.82 23.05 22.05 1.00 23.05 21.70 16.78 4.92 21.70 10.50
461.00 3.31 5.33 3.20 0.00 0.00 11.84 23.07 22.06 1.01 23.07 21.74 16.81 4.93 21.74 10.52
462.00 3.32 5.34 3.20 0.00 0.00 11.86 23.09 22.07 1.02 23.09 21.78 16.85 4.93 21.78 10.53
463.00 3.33 5.35 3.21 0.00 0.00 11.88 23.12 22.08 1.04 23.12 21.82 16.89 4.93 21.82 10.55
464.00 3.33 5.36 3.21 0.00 0.00 11.90 23.14 22.09 1.05 23.14 21.86 16.92 4.94 21.86 10.56
465.00 3.34 5.37 3.22 0.00 0.00 11.92 23.16 22.10 1.06 23.16 21.90 16.96 4.94 21.90 10.57
465.22 3.34 5.37 3.22 0.00 0.00 11.93 23.16 22.10 1.06 23.16 21.91 16.97 4.94 21.91 10.58
466.00 3.34 5.38 3.23 0.00 0.00 11.95 23.18 22.11 1.07 23.18 21.94 16.99 4.95 21.94 10.59
467.00 3.35 5.39 3.23 0.00 0.00 11.97 23.20 22.12 1.08 23.20 21.98 17.03 4.95 21.98 10.61
468.00 3.36 5.39 3.24 0.00 0.00 11.99 23.23 22.13 1.10 23.23 22.02 17.07 4.95 22.02 10.62
469.00 3.36 5.40 3.24 0.00 0.00 12.01 23.25 22.14 1.11 23.25 22.06 17.10 4.96 22.06 10.64
469.80 3.37 5.41 3.25 0.00 0.00 12.03 23.27 22.15 1.12 23.27 22.09 17.13 4.96 22.09 10.65
470.00 3.37 5.41 3.25 0.00 0.00 12.03 23.27 22.15 1.12 23.27 22.10 17.14 4.96 22.10 10.65
471.00 3.37 5.42 3.25 0.00 0.00 12.05 23.30 22.17 1.13 23.30 22.15 17.16 4.99 22.15 10.66
472.00 3.38 5.43 3.26 0.00 0.00 12.07 23.34 22.19 1.15 23.34 22.20 17.18 5.02 22.20 10.68
473.00 3.39 5.44 3.27 0.00 0.00 12.10 23.37 22.21 1.16 23.37 22.25 17.20 5.05 22.25 10.69
473.20 3.39 5.45 3.27 0.00 0.00 12.10 23.38 22.21 1.16 23.38 22.26 17.20 5.06 22.26 10.70
473.80 3.36 5.40 3.24 0.00 0.00 12.00 23.40 22.23 1.17 23.40 22.29 17.21 5.08 22.29 10.71
474.00 3.35 5.38 3.23 0.00 0.00 11.97 23.40 22.23 1.17 23.40 22.30 17.22 5.08 22.30 10.71
475.00 3.30 5.31 3.19 0.00 0.00 11.80 23.44 22.25 1.18 23.44 22.35 17.24 5.11 22.35 10.73
475.90 3.22 5.17 3.11 0.00 0.00 11.50 23.46 22.27 1.20 23.46 22.40 17.25 5.14 22.40 10.74
476.00 3.21 5.16 3.09 0.00 0.00 11.46 23.47 22.27 1.20 23.47 22.40 17.25 5.15 22.40 10.74
476.40 3.16 5.09 3.05 0.00 0.00 11.30 23.48 22.28 1.20 23.48 22.42 17.26 5.16 22.42 10.75
477.00 3.25 5.23 3.14 0.00 0.00 11.61 23.50 22.29 1.21 23.50 22.45 17.27 5.18 22.45 10.76
478.00 3.40 5.46 3.28 0.00 0.00 12.14 23.53 22.31 1.22 23.53 22.50 17.29 5.21 22.50 10.77
478.50 3.47 5.58 3.35 0.00 0.00 12.40 23.55 22.32 1.23 23.55 22.52 17.30 5.22 22.52 10.78
479.00 3.45 5.55 3.33 0.00 0.00 12.33 23.57 22.33 1.24 23.57 22.55 17.31 5.24 22.55 10.78
480.00 3.42 5.49 3.29 0.00 0.00 12.20 23.60 22.35 1.25 23.60 22.60 17.33 5.27 22.60 10.80
480.80 4.51 7.24 4.35 0.00 0.00 16.10 23.59 22.37 1.22 23.59 22.63 17.36 5.27 22.63 10.82
481.00 4.36 7.00 4.20 0.00 0.00 15.57 23.59 22.38 1.21 23.59 22.64 17.37 5.27 22.64 10.82
481.70 3.84 6.16 3.70 0.00 0.00 13.70 23.58 22.39 1.19 23.58 22.67 17.39 5.27 22.67 10.83
482.00 3.78 6.08 3.65 0.00 0.00 13.50 23.58 22.40 1.18 23.58 22.68 17.41 5.27 22.68 10.84
482.10 3.76 6.05 3.63 0.00 0.00 13.43 23.58 22.40 1.18 23.58 22.68 17.41 5.27 22.68 10.84
482.60 3.67 5.89 3.54 0.00 0.00 13.10 23.57 22.42 1.16 23.57 22.70 17.43 5.28 22.70 10.85
483.00 3.65 5.87 3.52 0.00 0.00 13.04 23.57 22.43 1.14 23.57 22.72 17.44 5.28 22.72 10.86
483.30 3.64 5.85 3.51 0.00 0.00 13.00 23.57 22.43 1.13 23.57 22.73 17.45 5.28 22.73 10.87
484.00 3.63 5.83 3.50 0.00 0.00 12.95 23.56 22.45 1.11 23.56 22.76 17.48 5.28 22.76 10.88
484.70 3.61 5.80 3.48 0.00 0.00 12.90 23.55 22.47 1.09 23.55 22.79 17.51 5.28 22.79 10.89
485.00 3.60 5.79 3.47 0.00 0.00 12.86 23.55 22.48 1.07 23.55 22.80 17.52 5.28 22.80 10.90
486.00 3.56 5.73 3.44 0.00 0.00 12.73 23.54 22.50 1.04 23.54 22.84 17.56 5.28 22.84 10.92
486.60 3.54 5.69 3.42 0.00 0.00 12.65 23.53 22.52 1.02 23.53 22.86 17.58 5.28 22.86 10.93
487.00 3.52 5.66 3.39 0.00 0.00 12.57 23.53 22.53 1.00 23.53 22.88 17.59 5.29 22.88 10.94
488.00 3.47 5.57 3.34 0.00 0.00 12.38 23.52 22.55 0.97 23.52 22.92 17.63 5.29 22.92 10.96
489.00 3.41 5.49 3.29 0.00 0.00 12.19 23.51 22.58 0.93 23.51 22.96 17.67 5.29 22.96 10.98
489.50 3.39 5.44 3.27 0.00 0.00 12.10 23.50 22.59 0.92 23.50 22.98 17.69 5.29 22.98 10.99
490.00 3.36 5.40 3.24 0.00 0.00 12.00 23.50 22.60 0.90 23.50 23.00 17.71 5.29 23.00 11.00
491.00 3.40 5.47 3.28 0.00 0.00 12.16 23.50 22.65 0.85 23.50 23.06 17.75 5.31 23.06 11.02
491.70 3.44 5.52 3.31 0.00 0.00 12.27 23.50 22.68 0.81 23.50 23.10 17.77 5.33 23.10 11.03
492.00 3.43 5.52 3.31 0.00 0.00 12.26 23.50 22.70 0.80 23.50 23.12 17.78 5.34 23.12 11.04
493.00 3.42 5.50 3.30 0.00 0.00 12.21 23.50 22.75 0.75 23.50 23.18 17.82 5.36 23.18 11.06
494.00 3.41 5.48 3.29 0.00 0.00 12.17 23.50 22.80 0.70 23.50 23.24 17.86 5.38 23.24 11.08
495.00 3.39 5.46 3.27 0.00 0.00 12.12 23.50 22.85 0.65 23.50 23.30 17.90 5.40 23.30 11.10
496.00 3.38 5.44 3.26 0.00 0.00 12.08 23.50 22.91 0.59 23.50 23.36 17.94 5.42 23.36 11.12
497.00 3.37 5.42 3.25 0.00 0.00 12.03 23.50 22.97 0.53 23.50 23.42 17.98 5.44 23.42 11.14
498.00 3.36 5.40 3.24 0.00 0.00 11.99 23.50 23.03 0.47 23.50 23.48 18.02 5.46 23.48 11.16
499.00 3.34 5.38 3.23 0.00 0.00 11.94 23.50 23.09 0.41 23.50 23.54 18.05 5.49 23.54 11.18
499.27 3.34 5.37 3.22 0.00 0.00 11.93 23.50 23.11 0.39 23.50 23.56 18.06 5.49 23.56 11.19
499.37 3.34 5.37 3.22 0.00 0.00 11.93 23.50 23.11 0.39 23.50 23.56 18.07 5.49 23.56 11.19
500.00 3.33 5.35 3.21 0.00 0.00 11.90 23.50 23.15 0.35 23.50 23.60 18.09 5.51 23.60 11.20
501.00 3.30 5.30 3.18 0.00 0.00 11.77 23.52 23.22 0.30 23.52 23.64 18.13 5.51 23.64 11.22
501.10 3.29 5.29 3.18 0.00 0.00 11.76 23.52 23.23 0.29 23.52 23.64 18.13 5.51 23.64 11.22
502.00 3.30 5.30 3.18 0.00 0.00 11.77 23.53 23.29 0.24 23.53 23.68 18.17 5.51 23.68 11.23
503.00 3.30 5.31 3.18 0.00 0.00 11.79 23.55 23.36 0.19 23.55 23.72 18.21 5.51 23.72 11.24
504.00 3.31 5.31 3.19 0.00 0.00 11.81 23.56 23.43 0.13 23.56 23.76 18.25 5.51 23.76 11.26
505.00 3.31 5.32 3.19 0.00 0.00 11.82 23.58 23.50 0.08 23.58 23.80 18.28 5.52 23.80 11.27
507.90 3.32 5.34 3.20 0.00 0.00 11.87 23.73 23.67 0.05 23.73 23.92 18.40 5.52 23.92 11.32
510.00 3.33 5.35 3.21 0.00 0.00 11.90 23.83 23.80 0.03 23.83 24.00 18.48 5.52 24.00 11.35
515.60 3.35 5.38 3.23 0.00 0.00 11.96 24.25 24.25 0.00 24.25 24.28 18.81 5.47 24.28 11.43
520.00 3.36 5.40 3.24 0.00 0.00 12.00 24.58 24.58 0.00 24.58 24.50 19.08 5.42 24.50 11.50
520.66 3.36 5.40 3.24 0.00 0.00 12.01 24.61 24.61 0.00 24.61 24.53 19.14 5.39 24.53 11.51
521.10 3.36 5.40 3.24 0.00 0.00 12.01 24.63 24.63 0.00 24.63 24.54 19.17 5.37 24.54 11.51
525.80 3.38 5.43 3.26 0.00 0.00 12.06 24.86 24.86 0.00 24.86 24.73 19.60 5.14 24.73 11.56
530.00 3.43 5.45 3.22 0.00 0.00 12.10 25.07 25.07 0.00 25.07 24.90 19.98 4.92 24.90 11.60
537.02 3.55 5.51 3.18 0.00 0.00 12.24 25.23 25.23 0.00 25.23 25.25 20.50 4.75 25.25 11.67
540.00 3.57 5.53 3.20 0.00 0.00 12.30 25.30 25.30 0.00 25.30 25.40 20.72 4.68 25.40 11.70
542.80 3.58 5.56 3.21 0.00 0.00 12.36 25.13 25.13 0.00 25.13 25.28 20.92 4.36 25.28 11.71
544.70 3.59 5.58 3.22 0.00 0.00 12.39 25.02 25.02 0.00 25.02 25.20 21.06 4.14 25.20 11.72
548.90 3.62 5.62 3.24 0.00 0.00 12.48 24.77 24.77 0.00 24.77 25.90 21.34 4.56 25.90 11.74
550.00 3.63 5.63 3.25 0.00 0.00 12.50 24.70 24.70 0.00 24.70 25.90 21.48 4.42 25.90 11.75
551.40 3.63 5.64 3.26 0.00 0.00 12.53 24.52 24.52 0.00 24.52 25.90 21.67 4.23 25.90 11.76
554.37 3.65 5.66 3.27 0.00 0.00 12.59 24.13 24.13 0.00 24.13 26.04 21.60 4.44 26.04 11.77
554.51 3.65 5.67 3.27 0.00 0.00 12.59 24.11 24.11 0.00 24.11 26.05 21.60 4.45 26.05 11.77
555.60 3.66 5.68 3.28 0.00 0.00 12.61 23.97 23.97 0.00 23.97 26.10 21.58 4.52 26.10 11.78
558.60 3.67 5.70 3.29 0.00 0.00 12.67 23.58 23.58 0.00 23.58 26.10 21.58 4.52 26.10 11.79
560.00 3.68 5.71 3.30 0.00 0.00 12.70 23.40 23.40 0.00 23.40 26.10 21.59 4.51 26.10 11.80
562.80 3.70 5.74 3.32 0.00 0.00 12.76 23.15 23.15 0.00 23.15 26.04 21.55 4.50 26.04 11.80
565.00 3.71 5.76 3.33 0.00 0.00 12.80 22.95 22.95 0.00 22.95 26.00 21.52 4.48 26.00 11.80
568.50 3.73 5.79 3.35 0.00 0.00 12.87 22.64 22.64 0.00 22.64 25.86 21.41 4.45 25.86 11.80
570.00 3.74 5.80 3.35 0.00 0.00 12.90 22.50 22.50 0.00 22.50 25.80 21.36 4.44 25.80 11.80
572.30 3.75 5.82 3.36 0.00 0.00 12.92 22.48 22.48 0.00 22.48 25.66 21.25 4.41 25.66 11.80
575.00 3.76 5.78 3.41 0.00 0.00 12.95 22.45 22.45 0.00 22.45 25.50 21.13 4.37 25.50 11.80
580.00 3.77 5.72 3.51 0.00 0.00 13.00 22.40 22.40 0.00 22.40 24.80 20.56 4.24 24.80 11.80
580.40 3.79 5.75 3.47 0.00 0.00 13.01 22.40 22.40 0.00 22.40 24.61 20.40 4.21 24.61 11.80
584.00 3.92 6.02 3.14 0.00 0.00 13.08 22.40 22.40 0.00 22.40 22.88 18.98 3.90 22.88 11.78
584.33 3.92 6.02 3.15 0.00 0.00 13.09 22.40 22.40 0.00 22.40 22.72 18.84 3.88 22.72 11.78
585.00 3.90 6.03 3.18 0.00 0.00 13.10 22.40 22.40 0.00 22.40 22.40 18.58 3.82 22.40 11.78
585.80 3.88 6.03 3.21 0.00 0.00 13.12 22.40 22.40 0.00 22.40 21.80 18.08 3.72 21.80 11.77
588.90 3.79 6.06 3.32 0.00 0.00 13.18 22.40 22.40 0.00 22.40 19.30 16.12 3.18 19.30 11.76
590.00 3.76 6.07 3.37 0.00 0.00 13.20 22.40 22.40 0.00 22.40 19.40 16.12 3.28 19.40 11.75
592.40 3.69 6.08 3.45 0.00 0.00 13.22 22.44 22.44 0.00 22.44 20.80 17.09 3.72 20.80 11.74
594.10 3.64 6.09 3.51 0.00 0.00 13.24 22.47 22.47 0.00 22.47 21.80 17.76 4.04 21.80 11.73
595.00 3.61 6.10 3.54 0.00 0.00 13.25 22.49 22.49 0.00 22.49 23.80 19.98 3.82 23.80 11.73
596.70 3.56 6.10 3.61 0.00 0.00 13.27 22.52 22.52 0.00 22.52 27.70 24.56 3.14 27.70 11.72
599.60 3.47 6.12 3.71 0.00 0.00 13.30 22.57 22.57 0.00 22.57 28.49 25.54 2.95 28.49 11.70
600.00 3.46 6.12 3.72 0.00 0.00 13.30 22.58 22.58 0.00 22.58 28.60 25.67 2.93 28.60 11.70
604.30 3.53 6.14 3.68 0.00 0.00 13.34 22.67 22.67 0.00 22.67 30.10 26.62 2.57 29.20 11.74
608.00 3.59 6.15 3.64 0.00 0.00 13.38 22.76 22.76 0.00 22.76 27.12 23.63 1.94 25.58 11.78
608.40 3.59 6.16 3.64 0.00 0.00 13.38 22.76 22.76 0.00 22.76 26.80 23.32 1.88 25.19 11.78
608.90 3.60 6.16 3.63 0.00 0.00 13.39 22.78 22.78 0.00 22.78 26.40 23.01 1.81 24.82 11.79
609.70 3.61 6.16 3.62 0.00 0.00 13.40 22.79 22.79 0.00 22.79 27.96 24.43 1.85 26.28 11.80
610.00 3.62 6.16 3.62 0.00 0.00 13.40 22.80 22.80 0.00 22.80 28.54 24.97 1.86 26.83 11.80
610.70 3.63 6.16 3.61 0.00 0.00 13.40 22.82 22.82 0.00 22.82 29.91 26.79 1.92 28.71 11.77
610.90 3.63 6.16 3.61 0.00 0.00 13.40 22.83 22.83 0.00 22.83 29.73 26.65 1.89 28.54 11.76
612.00 3.64 6.16 3.59 0.00 0.00 13.40 22.86 22.86 0.00 22.86 25.68 23.81 1.59 25.41 11.72
612.40 3.65 6.16 3.59 0.00 0.00 13.40 22.87 22.87 0.00 22.87 24.21 22.72 1.49 24.21 11.70
612.70 3.65 6.16 3.58 0.00 0.00 13.40 22.88 22.88 0.00 22.88 23.10 21.66 1.39 23.05 11.69
613.00 3.66 6.16 3.58 0.00 0.00 13.40 22.89 22.89 0.00 22.89 27.00 25.29 1.60 26.89 11.68
614.00 3.67 6.16 3.56 0.00 0.00 13.40 22.92 22.92 0.00 22.92 28.43 26.55 1.58 28.13 11.64
615.00 3.68 6.16 3.55 0.00 0.00 13.40 22.95 22.95 0.00 22.95 28.57 26.59 1.48 28.08 11.60
615.20 3.69 6.16 3.55 0.00 0.00 13.40 22.96 22.96 0.00 22.96 28.60 26.60 1.46 28.07 11.59
616.00 3.70 6.16 3.54 0.00 0.00 13.40 22.98 22.98 0.00 22.98 25.40 23.56 1.23 24.79 11.57
616.30 3.70 6.16 3.53 0.00 0.00 13.40 22.99 22.99 0.00 22.99 24.20 22.43 1.14 23.57 11.57
616.60 3.71 6.16 3.53 0.00 0.00 13.40 23.00 23.00 0.00 23.00 26.43 24.47 1.22 25.69 11.56
616.90 3.71 6.16 3.53 0.00 0.00 13.40 23.01 23.01 0.00 23.01 28.66 26.50 1.29 27.80 11.55
617.70 3.72 6.16 3.51 0.00 0.00 13.40 23.03 23.03 0.00 23.03 34.60 31.98 1.47 33.45 11.53
618.00 3.73 6.16 3.51 0.00 0.00 13.40 23.04 23.04 0.00 23.04 30.82 28.47 1.28 29.75 11.52
618.20 3.73 6.16 3.51 0.00 0.00 13.40 23.05 23.05 0.00 23.05 28.30 26.13 1.15 27.28 11.52
618.70 3.73 6.16 3.50 0.00 0.00 13.40 23.06 23.06 0.00 23.06 29.80 27.49 1.16 28.65 11.51
618.90 3.74 6.16 3.50 0.00 0.00 13.40 23.07 23.07 0.00 23.07 29.06 26.78 1.12 27.90 11.50
